,zip,latitude,longitude,count,text
0,94010,37.5671,-122.3676,2,94010<br>2 BizOpsers
1,94022,37.3814,-122.1258,2,94022<br>2 BizOpsers
2,94024,37.3547,-122.0862,1,94024<br>1 BizOpsers
3,94025,37.4396,-122.1864,1,94025<br>1 BizOpsers
4,94027,37.4563,-122.2002,1,94027<br>1 BizOpsers
5,94040,37.3855,-122.088,5,94040<br>5 BizOpsers
6,94041,37.3893,-122.0783,1,94041<br>1 BizOpsers
7,94043,37.4056,-122.0775,2,94043<br>2 BizOpsers
8,94062,37.4245,-122.296,2,94062<br>2 BizOpsers
9,94063,37.4815,-122.2091,1,94063<br>1 BizOpsers
10,94070,37.4969,-122.2674,1,94070<br>1 BizOpsers
11,94085,37.3886,-122.0177,1,94085<br>1 BizOpsers
12,94086,37.3764,-122.0238,1,94086<br>1 BizOpsers
13,94102,37.7813,-122.4167,2,94102<br>2 BizOpsers
14,94103,37.7725,-122.4147,3,94103<br>3 BizOpsers
15,94105,37.7864,-122.3892,3,94105<br>3 BizOpsers
16,94108,37.7929,-122.4079,1,94108<br>1 BizOpsers
17,94109,37.7917,-122.4186,6,94109<br>6 BizOpsers
18,94110,37.7509,-122.4153,2,94110<br>2 BizOpsers
19,94114,37.7587,-122.43299999999999,3,94114<br>3 BizOpsers
20,94123,37.7999,-122.4342,1,94123<br>1 BizOpsers
21,94131,37.745,-122.4383,1,94131<br>1 BizOpsers
22,94301,37.4443,-122.1497,1,94301<br>1 BizOpsers
23,94306,37.418,-122.1274,1,94306<br>1 BizOpsers
24,94403,37.5395,-122.2998,1,94403<br>1 BizOpsers
25,94618,37.8431,-122.2402,1,94618<br>1 BizOpsers
26,95051,37.3483,-121.9844,1,95051<br>1 BizOpsers
27,95070,37.2713,-122.0227,1,95070<br>1 BizOpsers
28,95148,37.3304,-121.7913,1,95148<br>1 BizOpsers
